"county","year","var_name","magnitude","temporal","value","category"
"Roscommon","2016Q2-2022Q1","new_build_apartment","absolute_total","static",47,"new_dwelling_completions"
"Sligo","2016Q2-2022Q1","new_build_apartment","absolute_total","static",106,"new_dwelling_completions"
"South Dublin","2016Q2-2022Q1","new_build_apartment","absolute_total","static",1069,"new_dwelling_completions"
"State","2016Q2-2022Q1","new_build_apartment","absolute_total","static",19478,"new_dwelling_completions"
"Tipperary","2016Q2-2022Q1","new_build_apartment","absolute_total","static",128,"new_dwelling_completions"
"Waterford","2016Q2-2022Q1","new_build_apartment","absolute_total","static",186,"new_dwelling_completions"
"Westmeath","2016Q2-2022Q1","new_build_apartment","absolute_total","static",72,"new_dwelling_completions"
"Wexford","2016Q2-2022Q1","new_build_apartment","absolute_total","static",156,"new_dwelling_completions"
"Wicklow","2016Q2-2022Q1","new_build_apartment","absolute_total","static",450,"new_dwelling_completions"
"Carlow","2016Q2-2022Q1","new_build_scheme","absolute_total","static",714,"new_dwelling_completions"
"Cavan","2016Q2-2022Q1","new_build_scheme","absolute_total","static",271,"new_dwelling_completions"
"Clare","2016Q2-2022Q1","new_build_scheme","absolute_total","static",848,"new_dwelling_completions"
"Cork","2016Q2-2022Q1","new_build_scheme","absolute_total","static",6926,"new_dwelling_completions"
"DLR","2016Q2-2022Q1","new_build_scheme","absolute_total","static",2647,"new_dwelling_completions"
"Donegal","2016Q2-2022Q1","new_build_scheme","absolute_total","static",676,"new_dwelling_completions"
"Dublin City","2016Q2-2022Q1","new_build_scheme","absolute_total","static",3138,"new_dwelling_completions"
"Fingal","2016Q2-2022Q1","new_build_scheme","absolute_total","static",7940,"new_dwelling_completions"
"Galway City","2016Q2-2022Q1","new_build_scheme","absolute_total","static",809,"new_dwelling_completions"
"Galway County","2016Q2-2022Q1","new_build_scheme","absolute_total","static",1290,"new_dwelling_completions"
"Kerry","2016Q2-2022Q1","new_build_scheme","absolute_total","static",1037,"new_dwelling_completions"
"Kildare","2016Q2-2022Q1","new_build_scheme","absolute_total","static",7201,"new_dwelling_completions"
"Kilkenny","2016Q2-2022Q1","new_build_scheme","absolute_total","static",543,"new_dwelling_completions"
"Laois","2016Q2-2022Q1","new_build_scheme","absolute_total","static",735,"new_dwelling_completions"
"Leitrim","2016Q2-2022Q1","new_build_scheme","absolute_total","static",106,"new_dwelling_completions"
"Limerick","2016Q2-2022Q1","new_build_scheme","absolute_total","static",1834,"new_dwelling_completions"
"Longford","2016Q2-2022Q1","new_build_scheme","absolute_total","static",219,"new_dwelling_completions"
"Louth","2016Q2-2022Q1","new_build_scheme","absolute_total","static",2356,"new_dwelling_completions"
"Mayo","2016Q2-2022Q1","new_build_scheme","absolute_total","static",626,"new_dwelling_completions"
"Meath","2016Q2-2022Q1","new_build_scheme","absolute_total","static",5958,"new_dwelling_completions"
"Monaghan","2016Q2-2022Q1","new_build_scheme","absolute_total","static",353,"new_dwelling_completions"
"Offaly","2016Q2-2022Q1","new_build_scheme","absolute_total","static",501,"new_dwelling_completions"
"Roscommon","2016Q2-2022Q1","new_build_scheme","absolute_total","static",278,"new_dwelling_completions"
"Sligo","2016Q2-2022Q1","new_build_scheme","absolute_total","static",249,"new_dwelling_completions"
"South Dublin","2016Q2-2022Q1","new_build_scheme","absolute_total","static",6174,"new_dwelling_completions"
"State","2016Q2-2022Q1","new_build_scheme","absolute_total","static",60680,"new_dwelling_completions"
"Tipperary","2016Q2-2022Q1","new_build_scheme","absolute_total","static",358,"new_dwelling_completions"
"Waterford","2016Q2-2022Q1","new_build_scheme","absolute_total","static",1601,"new_dwelling_completions"
"Westmeath","2016Q2-2022Q1","new_build_scheme","absolute_total","static",453,"new_dwelling_completions"
"Wexford","2016Q2-2022Q1","new_build_scheme","absolute_total","static",1513,"new_dwelling_completions"
"Wicklow","2016Q2-2022Q1","new_build_scheme","absolute_total","static",3326,"new_dwelling_completions"
"Carlow","2016Q2-2022Q1","new_build_single","absolute_total","static",362,"new_dwelling_completions"
"Cavan","2016Q2-2022Q1","new_build_single","absolute_total","static",673,"new_dwelling_completions"
"Clare","2016Q2-2022Q1","new_build_single","absolute_total","static",1103,"new_dwelling_completions"
"Cork","2016Q2-2022Q1","new_build_single","absolute_total","static",3521,"new_dwelling_completions"
"DLR","2016Q2-2022Q1","new_build_single","absolute_total","static",380,"new_dwelling_completions"
"Donegal","2016Q2-2022Q1","new_build_single","absolute_total","static",1771,"new_dwelling_completions"
"Dublin City","2016Q2-2022Q1","new_build_single","absolute_total","static",417,"new_dwelling_completions"
"Fingal","2016Q2-2022Q1","new_build_single","absolute_total","static",534,"new_dwelling_completions"
"Galway City","2016Q2-2022Q1","new_build_single","absolute_total","static",127,"new_dwelling_completions"
"Galway County","2016Q2-2022Q1","new_build_single","absolute_total","static",2416,"new_dwelling_completions"
"Kerry","2016Q2-2022Q1","new_build_single","absolute_total","static",1295,"new_dwelling_completions"
"Kildare","2016Q2-2022Q1","new_build_single","absolute_total","static",1022,"new_dwelling_completions"
"Kilkenny","2016Q2-2022Q1","new_build_single","absolute_total","static",899,"new_dwelling_completions"
"Laois","2016Q2-2022Q1","new_build_single","absolute_total","static",672,"new_dwelling_completions"
"Leitrim","2016Q2-2022Q1","new_build_single","absolute_total","static",229,"new_dwelling_completions"
"Limerick","2016Q2-2022Q1","new_build_single","absolute_total","static",1026,"new_dwelling_completions"
"Longford","2016Q2-2022Q1","new_build_single","absolute_total","static",309,"new_dwelling_completions"
"Louth","2016Q2-2022Q1","new_build_single","absolute_total","static",688,"new_dwelling_completions"
"Mayo","2016Q2-2022Q1","new_build_single","absolute_total","static",1377,"new_dwelling_completions"
"Meath","2016Q2-2022Q1","new_build_single","absolute_total","static",1639,"new_dwelling_completions"
"Monaghan","2016Q2-2022Q1","new_build_single","absolute_total","static",684,"new_dwelling_completions"
"Offaly","2016Q2-2022Q1","new_build_single","absolute_total","static",573,"new_dwelling_completions"
"Roscommon","2016Q2-2022Q1","new_build_single","absolute_total","static",572,"new_dwelling_completions"
"Sligo","2016Q2-2022Q1","new_build_single","absolute_total","static",486,"new_dwelling_completions"
"South Dublin","2016Q2-2022Q1","new_build_single","absolute_total","static",280,"new_dwelling_completions"
"State","2016Q2-2022Q1","new_build_single","absolute_total","static",27766,"new_dwelling_completions"
"Tipperary","2016Q2-2022Q1","new_build_single","absolute_total","static",1028,"new_dwelling_completions"
"Waterford","2016Q2-2022Q1","new_build_single","absolute_total","static",692,"new_dwelling_completions"
"Westmeath","2016Q2-2022Q1","new_build_single","absolute_total","static",711,"new_dwelling_completions"
"Wexford","2016Q2-2022Q1","new_build_single","absolute_total","static",1508,"new_dwelling_completions"
"Wicklow","2016Q2-2022Q1","new_build_single","absolute_total","static",772,"new_dwelling_completions"
"Border","2016Q2-2022Q1","new_build_all","absolute_total","static",4953,"new_dwelling_completions"
"Border","2016Q2-2022Q1","new_build_apartment","absolute_total","static",399,"new_dwelling_completions"
"Border","2016Q2-2022Q1","new_build_scheme","absolute_total","static",1384,"new_dwelling_completions"
"Border","2016Q2-2022Q1","new_build_single","absolute_total","static",3170,"new_dwelling_completions"
"GDA","2016Q2-2022Q1","new_build_all","absolute_total","static",57622,"new_dwelling_completions"
"GDA","2016Q2-2022Q1","new_build_apartment","absolute_total","static",16194,"new_dwelling_completions"
"GDA","2016Q2-2022Q1","new_build_scheme","absolute_total","static",36384,"new_dwelling_completions"
"GDA","2016Q2-2022Q1","new_build_single","absolute_total","static",5044,"new_dwelling_completions"
"Other","2016Q2-2022Q1","new_build_all","absolute_total","static",5068,"new_dwelling_completions"
"Other","2016Q2-2022Q1","new_build_apartment","absolute_total","static",301,"new_dwelling_completions"
"Other","2016Q2-2022Q1","new_build_scheme","absolute_total","static",1481,"new_dwelling_completions"
"Other","2016Q2-2022Q1","new_build_single","absolute_total","static",3286,"new_dwelling_completions"
"South","2016Q2-2022Q1","new_build_all","absolute_total","static",16167,"new_dwelling_completions"
"South","2016Q2-2022Q1","new_build_apartment","absolute_total","static",1095,"new_dwelling_completions"
"South","2016Q2-2022Q1","new_build_scheme","absolute_total","static",9564,"new_dwelling_completions"
"South","2016Q2-2022Q1","new_build_single","absolute_total","static",5508,"new_dwelling_completions"
"West","2016Q2-2022Q1","new_build_all","absolute_total","static",10109,"new_dwelling_completions"
"West","2016Q2-2022Q1","new_build_apartment","absolute_total","static",656,"new_dwelling_completions"
"West","2016Q2-2022Q1","new_build_scheme","absolute_total","static",4781,"new_dwelling_completions"
"West","2016Q2-2022Q1","new_build_single","absolute_total","static",4672,"new_dwelling_completions"
"wGDA","2016Q2-2022Q1","new_build_all","absolute_total","static",14005,"new_dwelling_completions"
"wGDA","2016Q2-2022Q1","new_build_apartment","absolute_total","static",833,"new_dwelling_completions"
"wGDA","2016Q2-2022Q1","new_build_scheme","absolute_total","static",7086,"new_dwelling_completions"
"wGDA","2016Q2-2022Q1","new_build_single","absolute_total","static",6086,"new_dwelling_completions"
