"county","year","var_name","magnitude","temporal","value","category"
"Donegal","2011","house_detach","absolute total","static",39561,"house_type"
"Donegal","2011","house_none","absolute total","static",788,"house_type"
"Donegal","2011","house_scheme","absolute total","static",15378,"house_type"
"Donegal","2011","tenure_all","absolute total","static",57721,"tenure"
"Donegal","2011","tenure_mort","absolute total","static",18418,"tenure"
"Donegal","2011","tenure_other","absolute total","static",1971,"tenure"
"Donegal","2011","tenure_owner","absolute total","static",24681,"tenure"
"Donegal","2011","tenure_rent","absolute total","static",7424,"tenure"
"Donegal","2011","tenure_social","absolute total","static",5227,"tenure"
"Dublin City","2011","All types of sewerage","absolute total","static",207847,"sewerage"
"Dublin City","2011","Individual septic tank","absolute total","static",1591,"sewerage"
"Dublin City","2011","Individual treatment not septic tank","absolute total","static",266,"sewerage"
"Dublin City","2011","No sewerage facility","absolute total","static",252,"sewerage"
"Dublin City","2011","Not stated","absolute total","static",10544,"sewerage"
"Dublin City","2011","Other type of sewage","absolute total","static",861,"sewerage"
"Dublin City","2011","Public scheme","absolute total","static",194333,"sewerage"
"Dublin City","2011","built_all","absolute total","static",207847,"built"
"Dublin City","2011","built_none","absolute total","static",16867,"built"
"Dublin City","2011","built_p19_70","absolute total","static",109029,"built"
"Dublin City","2011","built_p2016","absolute total","static",0,"built"
"Dublin City","2011","built_y70_90","absolute total","static",31450,"built"
"Dublin City","2011","built_y91_15","absolute total","static",50501,"built"
"Dublin City","2011","house_all","absolute total","static",207847,"house_type"
"Dublin City","2011","house_apart","absolute total","static",69194,"house_type"
"Dublin City","2011","house_detach","absolute total","static",10837,"house_type"
"Dublin City","2011","house_none","absolute total","static",5639,"house_type"
"Dublin City","2011","house_scheme","absolute total","static",122177,"house_type"
"Dublin City","2011","tenure_all","absolute total","static",207847,"tenure"
"Dublin City","2011","tenure_mort","absolute total","static",53054,"tenure"
"Dublin City","2011","tenure_other","absolute total","static",7005,"tenure"
"Dublin City","2011","tenure_owner","absolute total","static",54498,"tenure"
"Dublin City","2011","tenure_rent","absolute total","static",66613,"tenure"
"Dublin City","2011","tenure_social","absolute total","static",26677,"tenure"
"Fingal","2011","All types of sewerage","absolute total","static",92951,"sewerage"
"Fingal","2011","Individual septic tank","absolute total","static",3657,"sewerage"
"Fingal","2011","Individual treatment not septic tank","absolute total","static",1151,"sewerage"
"Fingal","2011","No sewerage facility","absolute total","static",58,"sewerage"
"Fingal","2011","Not stated","absolute total","static",4192,"sewerage"
"Fingal","2011","Other type of sewage","absolute total","static",405,"sewerage"
"Fingal","2011","Public scheme","absolute total","static",83488,"sewerage"
"Fingal","2011","built_all","absolute total","static",92951,"built"
"Fingal","2011","built_none","absolute total","static",5127,"built"
"Fingal","2011","built_p19_70","absolute total","static",11614,"built"
"Fingal","2011","built_p2016","absolute total","static",0,"built"
"Fingal","2011","built_y70_90","absolute total","static",26767,"built"
"Fingal","2011","built_y91_15","absolute total","static",49443,"built"
"Fingal","2011","house_all","absolute total","static",92951,"house_type"
"Fingal","2011","house_apart","absolute total","static",15447,"house_type"
"Fingal","2011","house_detach","absolute total","static",18033,"house_type"
"Fingal","2011","house_none","absolute total","static",1731,"house_type"
"Fingal","2011","house_scheme","absolute total","static",57740,"house_type"
"Fingal","2011","tenure_all","absolute total","static",92951,"tenure"
"Fingal","2011","tenure_mort","absolute total","static",43811,"tenure"
"Fingal","2011","tenure_other","absolute total","static",2047,"tenure"
"Fingal","2011","tenure_owner","absolute total","static",21450,"tenure"
"Fingal","2011","tenure_rent","absolute total","static",20029,"tenure"
"Fingal","2011","tenure_social","absolute total","static",5614,"tenure"
"Galway City","2011","All types of sewerage","absolute total","static",27697,"sewerage"
"Galway City","2011","Individual septic tank","absolute total","static",944,"sewerage"
"Galway City","2011","Individual treatment not septic tank","absolute total","static",101,"sewerage"
"Galway City","2011","No sewerage facility","absolute total","static",24,"sewerage"
"Galway City","2011","Not stated","absolute total","static",1361,"sewerage"
"Galway City","2011","Other type of sewage","absolute total","static",100,"sewerage"
"Galway City","2011","Public scheme","absolute total","static",25167,"sewerage"
"Galway City","2011","built_all","absolute total","static",27697,"built"
"Galway City","2011","built_none","absolute total","static",2334,"built"
"Galway City","2011","built_p19_70","absolute total","static",4992,"built"
"Galway City","2011","built_p2016","absolute total","static",0,"built"
"Galway City","2011","built_y70_90","absolute total","static",7317,"built"
"Galway City","2011","built_y91_15","absolute total","static",13054,"built"
"Galway City","2011","house_all","absolute total","static",27697,"house_type"
"Galway City","2011","house_apart","absolute total","static",6110,"house_type"
"Galway City","2011","house_detach","absolute total","static",5824,"house_type"
"Galway City","2011","house_none","absolute total","static",526,"house_type"
"Galway City","2011","house_scheme","absolute total","static",15237,"house_type"
"Galway City","2011","tenure_all","absolute total","static",27697,"tenure"
"Galway City","2011","tenure_mort","absolute total","static",6828,"tenure"
"Galway City","2011","tenure_other","absolute total","static",790,"tenure"
"Galway City","2011","tenure_owner","absolute total","static",6692,"tenure"
"Galway City","2011","tenure_rent","absolute total","static",10390,"tenure"
"Galway City","2011","tenure_social","absolute total","static",2997,"tenure"
"Galway County","2011","All types of sewerage","absolute total","static",60644,"sewerage"
"Galway County","2011","Individual septic tank","absolute total","static",38262,"sewerage"
"Galway County","2011","Individual treatment not septic tank","absolute total","static",3229,"sewerage"
"Galway County","2011","No sewerage facility","absolute total","static",143,"sewerage"
"Galway County","2011","Not stated","absolute total","static",1500,"sewerage"
"Galway County","2011","Other type of sewage","absolute total","static",670,"sewerage"
"Galway County","2011","Public scheme","absolute total","static",16840,"sewerage"
"Galway County","2011","built_all","absolute total","static",60644,"built"
"Galway County","2011","built_none","absolute total","static",1555,"built"
"Galway County","2011","built_p19_70","absolute total","static",15816,"built"
"Galway County","2011","built_p2016","absolute total","static",0,"built"
"Galway County","2011","built_y70_90","absolute total","static",13919,"built"
"Galway County","2011","built_y91_15","absolute total","static",29354,"built"
"Galway County","2011","house_all","absolute total","static",60644,"house_type"
"Galway County","2011","house_apart","absolute total","static",2211,"house_type"
"Galway County","2011","house_detach","absolute total","static",46700,"house_type"
"Galway County","2011","house_none","absolute total","static",727,"house_type"
"Galway County","2011","house_scheme","absolute total","static",11006,"house_type"
"Galway County","2011","tenure_all","absolute total","static",60644,"tenure"
"Galway County","2011","tenure_mort","absolute total","static",22278,"tenure"
"Galway County","2011","tenure_other","absolute total","static",2002,"tenure"
"Galway County","2011","tenure_owner","absolute total","static",25429,"tenure"
"Galway County","2011","tenure_rent","absolute total","static",8056,"tenure"
"Galway County","2011","tenure_social","absolute total","static",2879,"tenure"
"Kerry","2011","All types of sewerage","absolute total","static",53088,"sewerage"
"Kerry","2011","Individual septic tank","absolute total","static",25976,"sewerage"
"Kerry","2011","Individual treatment not septic tank","absolute total","static",2040,"sewerage"
"Kerry","2011","No sewerage facility","absolute total","static",125,"sewerage"
"Kerry","2011","Not stated","absolute total","static",1596,"sewerage"
"Kerry","2011","Other type of sewage","absolute total","static",261,"sewerage"
"Kerry","2011","Public scheme","absolute total","static",23090,"sewerage"
"Kerry","2011","built_all","absolute total","static",53088,"built"
"Kerry","2011","built_none","absolute total","static",1995,"built"
"Kerry","2011","built_p19_70","absolute total","static",15319,"built"
"Kerry","2011","built_p2016","absolute total","static",0,"built"
"Kerry","2011","built_y70_90","absolute total","static",13863,"built"
"Kerry","2011","built_y91_15","absolute total","static",21911,"built"
"Kerry","2011","house_all","absolute total","static",53088,"house_type"
"Kerry","2011","house_apart","absolute total","static",2267,"house_type"
"Kerry","2011","house_detach","absolute total","static",34964,"house_type"
"Kerry","2011","house_none","absolute total","static",752,"house_type"
"Kerry","2011","house_scheme","absolute total","static",15105,"house_type"
"Kerry","2011","tenure_all","absolute total","static",53088,"tenure"
"Kerry","2011","tenure_mort","absolute total","static",15526,"tenure"
"Kerry","2011","tenure_other","absolute total","static",1929,"tenure"
"Kerry","2011","tenure_owner","absolute total","static",23603,"tenure"
"Kerry","2011","tenure_rent","absolute total","static",7592,"tenure"
"Kerry","2011","tenure_social","absolute total","static",4438,"tenure"
"Kildare","2011","All types of sewerage","absolute total","static",70504,"sewerage"
"Kildare","2011","Individual septic tank","absolute total","static",13348,"sewerage"
"Kildare","2011","Individual treatment not septic tank","absolute total","static",3000,"sewerage"
"Kildare","2011","No sewerage facility","absolute total","static",52,"sewerage"
"Kildare","2011","Not stated","absolute total","static",2414,"sewerage"
"Kildare","2011","Other type of sewage","absolute total","static",447,"sewerage"
"Kildare","2011","Public scheme","absolute total","static",51243,"sewerage"
"Kildare","2011","built_all","absolute total","static",70504,"built"
"Kildare","2011","built_none","absolute total","static",3146,"built"
"Kildare","2011","built_p19_70","absolute total","static",12125,"built"
"Kildare","2011","built_p2016","absolute total","static",0,"built"
"Kildare","2011","built_y70_90","absolute total","static",17896,"built"
"Kildare","2011","built_y91_15","absolute total","static",37337,"built"
"Kildare","2011","house_all","absolute total","static",70504,"house_type"
"Kildare","2011","house_apart","absolute total","static",6128,"house_type"
"Kildare","2011","house_detach","absolute total","static",28835,"house_type"
"Kildare","2011","house_none","absolute total","static",1044,"house_type"
"Kildare","2011","house_scheme","absolute total","static",34497,"house_type"
"Kildare","2011","tenure_all","absolute total","static",70504,"tenure"
"Kildare","2011","tenure_mort","absolute total","static",32476,"tenure"
"Kildare","2011","tenure_other","absolute total","static",1880,"tenure"
"Kildare","2011","tenure_owner","absolute total","static",19514,"tenure"
"Kildare","2011","tenure_rent","absolute total","static",12178,"tenure"
"Kildare","2011","tenure_social","absolute total","static",4456,"tenure"
"Kilkenny","2011","All types of sewerage","absolute total","static",33583,"sewerage"
"Kilkenny","2011","Individual septic tank","absolute total","static",13444,"sewerage"
"Kilkenny","2011","Individual treatment not septic tank","absolute total","static",1719,"sewerage"
"Kilkenny","2011","No sewerage facility","absolute total","static",75,"sewerage"
"Kilkenny","2011","Not stated","absolute total","static",867,"sewerage"
"Kilkenny","2011","Other type of sewage","absolute total","static",205,"sewerage"
"Kilkenny","2011","Public scheme","absolute total","static",17273,"sewerage"
"Kilkenny","2011","built_all","absolute total","static",33583,"built"
"Kilkenny","2011","built_none","absolute total","static",1148,"built"
"Kilkenny","2011","built_p19_70","absolute total","static",10276,"built"
"Kilkenny","2011","built_p2016","absolute total","static",0,"built"
"Kilkenny","2011","built_y70_90","absolute total","static",7775,"built"
"Kilkenny","2011","built_y91_15","absolute total","static",14384,"built"
"Kilkenny","2011","house_all","absolute total","static",33583,"house_type"
"Kilkenny","2011","house_apart","absolute total","static",1404,"house_type"
"Kilkenny","2011","house_detach","absolute total","static",19796,"house_type"
"Kilkenny","2011","house_none","absolute total","static",438,"house_type"
"Kilkenny","2011","house_scheme","absolute total","static",11945,"house_type"
"Kilkenny","2011","tenure_all","absolute total","static",33583,"tenure"
"Kilkenny","2011","tenure_mort","absolute total","static",12219,"tenure"
"Kilkenny","2011","tenure_other","absolute total","static",972,"tenure"
"Kilkenny","2011","tenure_owner","absolute total","static",13099,"tenure"
"Kilkenny","2011","tenure_rent","absolute total","static",4578,"tenure"
"Kilkenny","2011","tenure_social","absolute total","static",2715,"tenure"
"Laois","2011","All types of sewerage","absolute total","static",27916,"sewerage"
"Laois","2011","Individual septic tank","absolute total","static",10401,"sewerage"
"Laois","2011","Individual treatment not septic tank","absolute total","static",788,"sewerage"
"Laois","2011","No sewerage facility","absolute total","static",33,"sewerage"
"Laois","2011","Not stated","absolute total","static",856,"sewerage"
"Laois","2011","Other type of sewage","absolute total","static",120,"sewerage"
"Laois","2011","Public scheme","absolute total","static",15718,"sewerage"
"Laois","2011","built_all","absolute total","static",27916,"built"
"Laois","2011","built_none","absolute total","static",1096,"built"
"Laois","2011","built_p19_70","absolute total","static",7051,"built"
"Laois","2011","built_p2016","absolute total","static",0,"built"
"Laois","2011","built_y70_90","absolute total","static",5289,"built"
"Laois","2011","built_y91_15","absolute total","static",14480,"built"
"Laois","2011","house_all","absolute total","static",27916,"house_type"
"Laois","2011","house_apart","absolute total","static",1200,"house_type"
"Laois","2011","house_detach","absolute total","static",15521,"house_type"
"Laois","2011","house_none","absolute total","static",438,"house_type"
"Laois","2011","house_scheme","absolute total","static",10757,"house_type"
"Laois","2011","tenure_all","absolute total","static",27916,"tenure"
"Laois","2011","tenure_mort","absolute total","static",11219,"tenure"
"Laois","2011","tenure_other","absolute total","static",905,"tenure"
"Laois","2011","tenure_owner","absolute total","static",9556,"tenure"
"Laois","2011","tenure_rent","absolute total","static",3695,"tenure"
"Laois","2011","tenure_social","absolute total","static",2541,"tenure"
"Leitrim","2011","All types of sewerage","absolute total","static",12228,"sewerage"
"Leitrim","2011","Individual septic tank","absolute total","static",6089,"sewerage"
"Leitrim","2011","Individual treatment not septic tank","absolute total","static",833,"sewerage"
"Leitrim","2011","No sewerage facility","absolute total","static",60,"sewerage"
"Leitrim","2011","Not stated","absolute total","static",348,"sewerage"
"Leitrim","2011","Other type of sewage","absolute total","static",83,"sewerage"
"Leitrim","2011","Public scheme","absolute total","static",4815,"sewerage"
"Leitrim","2011","built_all","absolute total","static",12228,"built"
"Leitrim","2011","built_none","absolute total","static",390,"built"
"Leitrim","2011","built_p19_70","absolute total","static",3920,"built"
"Leitrim","2011","built_p2016","absolute total","static",0,"built"
"Leitrim","2011","built_y70_90","absolute total","static",2339,"built"
"Leitrim","2011","built_y91_15","absolute total","static",5579,"built"
"Leitrim","2011","house_all","absolute total","static",12228,"house_type"
"Leitrim","2011","house_apart","absolute total","static",432,"house_type"
"Leitrim","2011","house_detach","absolute total","static",9025,"house_type"
"Leitrim","2011","house_none","absolute total","static",166,"house_type"
"Leitrim","2011","house_scheme","absolute total","static",2605,"house_type"
"Leitrim","2011","tenure_all","absolute total","static",12228,"tenure"
"Leitrim","2011","tenure_mort","absolute total","static",3729,"tenure"
"Leitrim","2011","tenure_other","absolute total","static",456,"tenure"
"Leitrim","2011","tenure_owner","absolute total","static",5288,"tenure"
"Leitrim","2011","tenure_rent","absolute total","static",1732,"tenure"
"Leitrim","2011","tenure_social","absolute total","static",1023,"tenure"
"Limerick City and County","2011","All types of sewerage","absolute total","static",69421,"sewerage"
"Limerick City and County","2011","Individual septic tank","absolute total","static",22113,"sewerage"
"Limerick City and County","2011","Individual treatment not septic tank","absolute total","static",2133,"sewerage"
"Limerick City and County","2011","No sewerage facility","absolute total","static",130,"sewerage"
"Limerick City and County","2011","Not stated","absolute total","static",2344,"sewerage"
"Limerick City and County","2011","Other type of sewage","absolute total","static",381,"sewerage"
"Limerick City and County","2011","Public scheme","absolute total","static",42320,"sewerage"
"Limerick City and County","2011","built_all","absolute total","static",69421,"built"
"Limerick City and County","2011","built_none","absolute total","static",3290,"built"
"Limerick City and County","2011","built_p19_70","absolute total","static",23192,"built"
"Limerick City and County","2011","built_p2016","absolute total","static",0,"built"
"Limerick City and County","2011","built_y70_90","absolute total","static",16176,"built"
"Limerick City and County","2011","built_y91_15","absolute total","static",26763,"built"
"Limerick City and County","2011","house_all","absolute total","static",69421,"house_type"
"Limerick City and County","2011","house_apart","absolute total","static",6014,"house_type"
"Limerick City and County","2011","house_detach","absolute total","static",31887,"house_type"
"Limerick City and County","2011","house_none","absolute total","static",1147,"house_type"
"Limerick City and County","2011","house_scheme","absolute total","static",30373,"house_type"
"Limerick City and County","2011","tenure_all","absolute total","static",69421,"tenure"
"Limerick City and County","2011","tenure_mort","absolute total","static",23043,"tenure"
"Limerick City and County","2011","tenure_other","absolute total","static",2101,"tenure"
"Limerick City and County","2011","tenure_owner","absolute total","static",26180,"tenure"
"Limerick City and County","2011","tenure_rent","absolute total","static",12455,"tenure"
"Limerick City and County","2011","tenure_social","absolute total","static",5642,"tenure"
"Longford","2011","All types of sewerage","absolute total","static",14410,"sewerage"
"Longford","2011","Individual septic tank","absolute total","static",6538,"sewerage"
"Longford","2011","Individual treatment not septic tank","absolute total","static",893,"sewerage"
"Longford","2011","No sewerage facility","absolute total","static",34,"sewerage"
"Longford","2011","Not stated","absolute total","static",516,"sewerage"
"Longford","2011","Other type of sewage","absolute total","static",125,"sewerage"
"Longford","2011","Public scheme","absolute total","static",6304,"sewerage"
"Longford","2011","built_all","absolute total","static",14410,"built"
"Longford","2011","built_none","absolute total","static",590,"built"
"Longford","2011","built_p19_70","absolute total","static",3923,"built"
"Longford","2011","built_p2016","absolute total","static",0,"built"
"Longford","2011","built_y70_90","absolute total","static",3126,"built"
"Longford","2011","built_y91_15","absolute total","static",6771,"built"
"Longford","2011","house_all","absolute total","static",14410,"house_type"
"Longford","2011","house_apart","absolute total","static",544,"house_type"
"Longford","2011","house_detach","absolute total","static",9335,"house_type"
"Longford","2011","house_none","absolute total","static",256,"house_type"
"Longford","2011","house_scheme","absolute total","static",4275,"house_type"
"Longford","2011","tenure_all","absolute total","static",14410,"tenure"
"Longford","2011","tenure_mort","absolute total","static",4209,"tenure"
"Longford","2011","tenure_other","absolute total","static",454,"tenure"
"Longford","2011","tenure_owner","absolute total","static",5299,"tenure"
"Longford","2011","tenure_rent","absolute total","static",2311,"tenure"
"Longford","2011","tenure_social","absolute total","static",2137,"tenure"
"Louth","2011","All types of sewerage","absolute total","static",43897,"sewerage"
"Louth","2011","Individual septic tank","absolute total","static",9648,"sewerage"
"Louth","2011","Individual treatment not septic tank","absolute total","static",1825,"sewerage"
"Louth","2011","No sewerage facility","absolute total","static",33,"sewerage"
"Louth","2011","Not stated","absolute total","static",1551,"sewerage"
"Louth","2011","Other type of sewage","absolute total","static",160,"sewerage"
"Louth","2011","Public scheme","absolute total","static",30680,"sewerage"
"Louth","2011","built_all","absolute total","static",43897,"built"
"Louth","2011","built_none","absolute total","static",1934,"built"
"Louth","2011","built_p19_70","absolute total","static",13165,"built"
"Louth","2011","built_p2016","absolute total","static",0,"built"
"Louth","2011","built_y70_90","absolute total","static",10079,"built"
"Louth","2011","built_y91_15","absolute total","static",18719,"built"
"Louth","2011","house_all","absolute total","static",43897,"house_type"
"Louth","2011","house_apart","absolute total","static",2421,"house_type"
"Louth","2011","house_detach","absolute total","static",18139,"house_type"
"Louth","2011","house_none","absolute total","static",815,"house_type"
"Louth","2011","house_scheme","absolute total","static",22522,"house_type"
"Louth","2011","tenure_all","absolute total","static",43897,"tenure"
"Louth","2011","tenure_mort","absolute total","static",17662,"tenure"
"Louth","2011","tenure_other","absolute total","static",1300,"tenure"
"Louth","2011","tenure_owner","absolute total","static",14014,"tenure"
"Louth","2011","tenure_rent","absolute total","static",6524,"tenure"
"Louth","2011","tenure_social","absolute total","static",4397,"tenure"
"Mayo","2011","All types of sewerage","absolute total","static",47932,"sewerage"
"Mayo","2011","Individual septic tank","absolute total","static",24640,"sewerage"
"Mayo","2011","Individual treatment not septic tank","absolute total","static",1868,"sewerage"
"Mayo","2011","No sewerage facility","absolute total","static",101,"sewerage"
"Mayo","2011","Not stated","absolute total","static",1266,"sewerage"
"Mayo","2011","Other type of sewage","absolute total","static",151,"sewerage"
"Mayo","2011","Public scheme","absolute total","static",19906,"sewerage"
"Mayo","2011","built_all","absolute total","static",47932,"built"
"Mayo","2011","built_none","absolute total","static",1503,"built"
"Mayo","2011","built_p19_70","absolute total","static",14114,"built"
"Mayo","2011","built_p2016","absolute total","static",0,"built"
"Mayo","2011","built_y70_90","absolute total","static",11908,"built"
"Mayo","2011","built_y91_15","absolute total","static",20407,"built"
